region,region_code,period,pct_phys_any_ehr,pct_phys_basic_ehr,pct_phys_cert_ehr,pct_primary_care_phys_basic_ehr,pct_primary_care_phys_cert_ehr,pct_surg_med_spec_phys_cert_ehr,pct_rural_phys_basic_ehr,pct_small_practice_phys_basic_ehr,pct_small_practice_phys_cert_ehr,pct_phys_view_labs,pct_phys_send_lab_orders,pct_phys_graph_labs,pct_phys_e_share_provs,pct_phys_e_share_ambu_provs,pct_phys_e_share_hosps,pct_phys_send_receive_any_patient_info,pct_phys_e_share_patients,pct_phys_patient_secure_message,pct_phys_vdt,pct_phys_vd_and_t,pct_phys_patient_clinical_summary,pct_phys_find_clin_info,pct_phys_send_any_clin_info,pct_phys_send_summary_care_record,pct_phys_receive_any_clin_info,pct_phys_receive_summary_care_record,pct_phys_integrate_any_clin_info,pct_phys_integrate_summary_care_record
Alabama,AL,2015,0.834,0.365,0.781,,0.707625428,0.845477372,,,0.733585435,,,,,,,0.311413873,0.658287171,0.544631956,0.599657017,0.179843907,,0.379138531,0.298738448,0.131430342,0.249739136,0.130934307,0.195901833,0.086895953
Alaska,AK,2015,0.829,0.464,0.712,,0.781998903,0.55914038,,,0.539732053,,,,,,,0.390080924,0.564221166,0.518779589,0.501125199,0.216419837,,0.463656532,0.325530356,0.111068069,0.29277987,0.135781353,0.179832794,0.086871143
Arizona,AZ,2015,0.798,0.504,0.744,,0.890182376,0.619637088,,,0.675878653,,,,,,,0.614471338,0.735758182,0.697919097,0.666897024,0.158562191,,0.3759411,0.563085248,0.254781029,0.405893363,0.272862009,0.441018908,0.203364416
Arkansas,AR,2015,0.962,0.456,0.853,,0.821271831,0.885539342,,,0.776549351,,,,,,,0.360622282,0.781513042,0.677703404,0.703181576,0.205814949,,0.346888561,0.273733531,0.283167255,0.307905151,0.288104841,0.437829978,0.113065717
California,CA,2015,0.821,0.494,0.765,,0.836065395,0.705544196,,,0.735324883,,,,,,,0.47304463,0.69645032,0.630202342,0.656900958,0.12607206,,0.317943963,0.391397878,0.211805687,0.374729152,0.231749404,0.277747644,0.080131466
Colorado,CO,2015,0.931,0.602,0.896,,0.934068778,0.860731719,,,0.822435313,,,,,,,0.566634139,0.840304141,0.82595099,0.729137871,0.170008339,,0.474730484,0.401826677,0.305524456,0.474728478,0.37792655,0.362197201,0.167658484
Connecticut,CT,2015,0.826,0.468,0.748,,0.868650378,0.652514034,,,0.647986567,,,,,,,0.325380996,0.674704096,0.548263906,0.607494934,0.119435922,,0.356675658,0.227487526,0.104835174,0.267902823,0.147920074,0.248102005,0.06111971
Delaware,DE,2015,0.988,0.544,0.826,,0.863472422,0.793159442,,,0.81751035,,,,,,,0.543974184,0.891290785,0.801360314,0.784231467,0.132267279,,0.549748363,0.401461519,0.181600622,0.462858353,0.23012787,0.493452365,0.187478534
District Of Columbia,DC,2015,0.764,0.444,0.663,,0.704280214,0.641054073,,,0.591319724,,,,,,,0.354882574,0.652735172,0.612160806,0.539196265,0.172480872,,0.164425342,0.264202265,0.150356533,0.331955965,0.151716161,0.199720369,0.123209032
Florida,FL,2015,0.847,0.481,0.791,,0.812388194,0.76804908,,,0.770820112,,,,,,,0.482405725,0.676722918,0.613538414,0.640952754,0.158569587,,0.279908504,0.418145214,0.19752821,0.376447732,0.211471495,0.399618813,0.171845026
Georgia,GA,2015,0.783,0.508,0.693,,0.740547362,0.653017233,,,0.68720578,,,,,,,0.403097408,0.625411655,0.59369151,0.488044365,0.16124397,,0.251059992,0.313245793,0.236451205,0.343771263,0.236451205,0.284193492,0.136826162
Hawaii,HI,2015,0.866,0.558,0.708,,0.732752964,0.679622639,,,0.622914679,,,,,,,0.492269815,0.589578463,0.555615775,0.525349736,0.102719194,,0.361119197,0.415127413,0.124553051,0.378629484,0.153626118,0.268666898,0.064510575
Idaho,ID,2015,0.889,0.47,0.812,,0.857350661,0.766175409,,,0.716103388,,,,,,,0.320936838,0.685996657,0.60498795,0.559628597,0.124775548,,0.387095349,0.204519539,0.126253301,0.307793506,0.194543683,0.216791116,0.068497235
